Left over proteins

Q03519
Q8IWA5
Q9Y3E7
Q9H4H8
Q15262
Q5W0Z9
Q9NZU0
Q6ISB3
O75436
Q8N1P7
P48729
Q5VZF2
Q9BXS6
P11586
Q96FQ6
Q9UMD9
P01135
Q07817
P13987
Q9NS71
P29034
O43623
Q53EP0
O15327
P42338
P54819
Q8WWI1
Q969T4
Q9NPG3
Q96RP9
P20810
Q86VQ6
Q96D46
O14936
P52799
Q9NTJ3
O75815
P06753
Q9UNH7
O60610
P15311
Q5JPH6
Q96EZ4
P26006
Q9BQE3
Q9NRS4
P49862
O60911
O15554
P01229
Q12929
P20248
O14757
P05783
Q96B96
A0FGR8
P67936
Q9Y6M1
Q9H816
