Reaction,Entry
R00367,M00035
R04858,M00035
R00192,M00035
R01290,M00035
R07601,M00036
R07602,M00036
R04097,M00036
R07618,M00036
R04095,M00036
R04138,M00036
R02085,M00036
R01360,M00036
R02313,M00032
R03102,M00032
R03103,M00032
R01939,M00032
R01933,M00032
R01940,M00032
R13166,M00032
R13167,M00032
R02571,M00032
R07618,M00032
R02488,M00032
R03026,M00032
R01975,M00032
R01954,M00844
R01086,M00844
R01398,M00029
R01954,M00029
R01086,M00029
R00551,M00029
R03313,M00015
R00667,M00015
R03314,M00015
R01251,M00015
R03314,M00970
R00245,M00970
R13148,M00970
R03314,M00972
R01248,M00972
R01251,M00972
R01253,M00972
R01883,M00047
R01881,M00047
R07420,M00047
R01157,M00133
R00178,M00133
R01920,M00133
R00670,M00134
R04025,M00135
R05050,M00135
R01987,M00135
R02914,M00045
R02288,M00045
R02285,M00045
R02287,M00045
R02286,M00045
R00525,M00045
R02080,M00042
R02535,M00042
R02533,M00042
R03973,M00043
R03953,M00043
R03208,M00043
R02521,M00044
R02519,M00044
R03181,M00044
R01364,M00044
R02701,M00037
R02911,M00037
R03130,M00037
R01959,M00038
R01960,M00038
R02668,M00038
R02665,M00038
R04323,M00038
R03889,M00038
R01648,M00027
R10178,M00027
R00713,M00027
R00714,M00027
R00497,M00118
R06262,M00055
R12294,M00872
R01959,M00912
R01960,M00912
R02668,M00912
R02665,M00912
R04293,M00912
R03348,M00912
R03005,M00912
R00189,M00912
R00257,M00912
R04230,M00120
R04231,M00120
R03269,M00120
R03035,M00120
R00130,M00120
R12424,M00882
R12424,M00883
R12432,M00883
R05046,M00842
R05048,M00842
R04639,M00842
R04286,M00842
R08208,M00842
R11372,M00880
R09395,M00880
R09726,M00880
R09735,M00880
R01220,M00141
R01218,M00141
R01655,M00141
R00943,M00141
R00036,M00868
R00084,M00868
R03165,M00868
R03197,M00868
R03220,M00868
R03222,M00868
R00310,M00868
R08770,M00128
R08771,M00128
R08772,M00128
R12658,M00128
R09737,M00128
R12067,M00128
R12657,M00128
R01978,M00095
R02082,M00095
R02245,M00095
R03245,M00095
R01121,M00095
R01123,M00095
R01658,M00367
R02003,M00367
R02061,M00367
R01658,M00367
R02003,M00367
R02061,M00367
R01658,M00367
R02003,M00367
R02061,M00367
