Expanded pancreatic proteins
O60563
Q96K19
O15090
Q8N413
Q53HC0
O43688
Q6UVM3
Q9NZP8
P15018
P20809
Q99627
O95968
O60721
Q96QK8
Q6ZNL6
O14578
P00325
P15407
Q86YJ5
O00155
Q00341
P60981
Q9HCS2
Q63HK3
Q9GZV9
Q96HY7
Q9BSD3
P60201
Q6UWV7
P60903
P49366
P18858
Q16695
P09758
Q9Y543
Q8N7L0
Q8N3R3
O95833
Q96B18
Q12955
A8MZ59
Q6PIY5
P36969
Q460N3
Q9BQD7
Q5TYM5
P59510
Q99759
E5RI56
Q14527
Q8NBQ7
O14880
Q96PL1
Q13049
Q8NA47
Q3KNW5
Q9P2E5
C9J6K1
Q13795
Q6JVE5
P0C881
P31150
O60895
Q6P2Q9
Q8WZ74
Q16617
P39059
Q96FX8
C9J0E9
Q96HS1
Q9NUQ3
Q7L2H7
Q9BTD3
Q9Y284
Q8NGV0
Q15036
Q9Y242
Q8NGG6
Q9Y5K3
Q8N609
Q969L2
Q9NNX6
Q00688
P08603
Q9BS91
Q9HB15
O43293
Q71SY5
P22310
Q70CQ1
P0CJ74
Q9BXL7
Q96GZ6
P18859
Q96GG9
Q9BXU2
P19876
O43707
Q8TDQ0
Q5T6X5
Q5QJU3
Q96RT8
Q8N3L3
Q9BZG2
O75022
Q3LI59
Q02318
Q8NHU2
P63208
Q7Z7L7
Q8TBA6
Q9NTN3
O60232
A4FU69
Q99705
Q9Y328
P35221
Q86UN2
P25398
Q96AC6
P49137
Q9NP78
O94805
Q9Y2Y9
Q9Y5H6
Q7Z7D3
P09086
Q99490
Q9NP08
Q8IY95
O95197
O15417
Q15822
Q9Y6W3
Q5SNT2
Q6DT37
Q9Y2Q5
Q8NGC5
Q13219
O00186
Q9Y365
Q9P232
Q6IS24
Q8IXT1
O75311
Q9BX93
Q9UPW5
Q6ZSB9
Q9UMX1
O43395
Q8NDW8
A1L170
Q3LI67
P10323
Q96DA0
Q9HBT6
Q9Y421
Q49A88
E9PPL8
Q9Y6D9
Q7Z601
Q9BYT8
Q9UL46
Q8WXQ8
Q53RY4
Q16589
Q14773
Q6IQ19
Q9ULI0
Q9Y2P8
Q14774
Q9BWP8
Q99550
O00410
Q5TGI0
Q92982
O75874
Q02509
Q15013
Q96K37
O14950
Q9H9Y4
Q9HB71
P01033
O00408
P52797
Q9P218
Q9H5V8
P01286
O95273
Q8TCZ2
P30153
Q9H4F1
Q9UK97
P62995
Q8WU10
A0AV02
Q9BWV7
Q9P086
Q5CZA5
P29460
Q9ULW3
Q8NDP4
Q9Y5S2
Q9UBP5
Q9NWA0
O75717
Q9NS85
Q8WUD4
Q5VWM3
Q96RQ3
A8MXY4
P02771
Q8NGJ1
O95167
Q6PCB7
Q86WI1
Q9H9D4
Q53S48
Q96BH3
Q9BPZ2
Q0P5N6
A6NNB3
Q9UEW8
Q9UIJ7
Q9BWW9
Q6WRI0
Q9ULV0
P61204
Q96BM1
Q7Z5L2
Q8N5H7
Q9UKT4
Q86XF7
O95447
Q9H091
Q9UKY0
Q06265
Q9UP79
Q5SR56
P55289
Q9UK55
Q9BXY0
Q92552
A1L390
Q8NEG2
Q9C075
Q96QK1
Q8N2R0
P30154
O00712
Q6UWQ7
O15342
Q9NRB3
Q14978
Q9UN76
Q8TC20
P49207
Q6P2H3
Q7Z2K6
O00198
O43248
P35232
Q7L7L0
Q9ULW0
P40937
Q96EP5
P14598
O43187
Q96CS7
O60330
O95985
Q8IZU8
Q8NE18
Q5T3U5
Q8IZT8
Q0VDI3
Q8NFY4
Q9HAT8
Q6UX07
Q9GZK3
Q495A1
P22695
Q8WUY8
P61073
Q01130
O60264
Q96PF1
Q15853
E5RJM6
P48145
G0XQ39
Q01151
Q9P2K8
P59046
O94988
Q96DU7
Q8WUJ3
P45985
O94762
Q14789
P04216
