Left over proteins
O75436

P49862
P48729
Q9UMD9
Q8IWA5
O60911
Q9NTJ3
P18077
Q9NPG3
P05783
P52799
Q9NPH3
O14757
Q9NS71
O75815
Q6ISB3
P20248
P26006
Q13261
Q9BXS6
Q969T4
Q9HAU0
Q96EZ4
O14936
P15311
Q03519
Q9NRS4
P54819
P01229
P42338
Q96FQ6
P29034
Q9H4H8
P01135
Q5JPH6
Q9UNH7
Q86VQ6
O15554
P13928
O43623
O15327
O60259
Q96D46
P20810
Q9Y6M1
P13987
Q15262
Q5W0Z9
Q8WWI1
P06753
Q12929
Q9NZU0
Q96B96
Q07817
P67936
O60610
Q96RP9
Q5VZF2
A0FGR8
P11586
Q9BQE3
Q53EP0
Q9Y3E7
Q8N1P7
Q9H816
