Left over proteins

Q8WWI1
Q9NTJ3
Q969T4
Q12929
Q5JPH6
Q96B96
Q96FQ6
Q96RP9
P20248
P11586
O15327
Q9NPG3
O75815
O14936
Q9NRS4
A0FGR8
Q96D46
P29034
P20810
Q9NS71
P13928
Q9HAU0
Q9NPH3
O60911
P15311
P48729
P05783
Q53EP0
P01229
O75436
Q9UMD9
P49862
Q9Y3E7
Q6ISB3
Q07817
O60610
Q03519
Q15262
Q86VQ6
O60259
P18077
O43623
P54819
Q9H4H8
O14757
P06753
Q9Y6M1
P01135
Q8N1P7
Q5W0Z9
P26006
P67936
Q9BQE3
Q9H816
P13987
O15554
Q9UNH7
Q13261
Q96EZ4
P52799
P42338
Q9NZU0
Q8IWA5
Q9BXS6
Q5VZF2
